feature,importance
temp,0.6493436458527032
temp_rolling_mean_14,0.15028302137632132
day_of_year,0.04283144099526807
temp_rolling_mean_7,0.03811501464159083
temp_lag_1,0.0311469577536201
temp_rolling_std_7,0.02698598573859802
temp_lag_2,0.02330692804470333
temp_lag_7,0.02210462791610819
week_of_year,0.01404596905426865
month,0.0018364086268182448
